time,node_id,neighbor_id,distance_m,symmetrical_link
3,21,11,220,1
3,21,25,243,1
3,21,16,216,1
3,21,8,243,1
3,24,30,224,1
3,24,13,184,1
3,24,19,208,1
3,24,12,184,1
3,25,11,220,1
3,25,16,216,1
3,25,21,161,1
3,25,8,243,1
3,25,12,184,1
3,26,5,222,1
3,27,30,224,1
3,27,4,143,1
3,27,3,222,1
3,27,20,149,1
3,28,7,208,1
3,28,9,216,1
3,28,15,222,1
3,28,29,218,1
3,28,10,238,1
3,28,14,201,1
3,28,17,217,1
3,28,18,151,1
3,29,28,234,1
3,29,7,208,1
3,29,10,238,1
3,29,14,201,1
3,29,6,164,1
3,29,18,151,1
3,30,13,184,1
3,30,19,208,1
3,30,27,224,1
3,30,24,208,1
3.5,0,3,222,1
3.5,0,18,238,1
3.5,1,2,206,1
3.5,1,5,222,1
3.5,2,5,222,1
3.5,2,1,222,1
3.5,3,27,224,1
3.5,3,0,219,1
3.5,4,27,224,1
3.5,4,20,149,1
3.5,5,2,206,1
3.5,5,1,222,1
3.5,5,26,198,1
3.5,6,7,208,1
3.5,6,29,218,1
3.5,6,10,238,1
3.5,6,14,201,1
3.5,7,28,234,1
3.5,7,9,216,1
3.5,7,17,217,1
3.5,7,15,222,1
3.5,7,29,218,1
3.5,7,10,238,1
3.5,7,14,201,1
3.5,7,6,164,1
3.5,8,11,220,1
3.5,8,9,216,1
3.5,8,15,222,1
3.5,8,25,243,1
3.5,8,16,216,1
3.5,8,21,161,1
3.5,9,28,234,1
3.5,9,7,208,1
3.5,9,15,222,1
3.5,9,16,216,1
3.5,9,8,243,1
3.5,9,17,217,1
3.5,10,28,234,1
3.5,10,7,208,1
3.5,10,29,218,1
3.5,10,14,201,1
3.5,10,6,164,1
3.5,10,17,217,1
3.5,10,18,238,1
3.5,11,25,243,1
3.5,11,16,216,1
3.5,11,21,161,1
3.5,11,8,243,1
3.5,12,25,243,1
3.5,12,24,208,1
3.5,13,30,224,1
3.5,13,19,208,1
3.5,13,24,208,1
3.5,14,28,234,1
3.5,14,7,208,1
3.5,14,29,218,1
3.5,14,10,238,1
3.5,14,6,164,1
3.5,14,17,217,1
3.5,14,18,238,1
3.5,15,28,234,1
3.5,15,7,208,1
3.5,15,9,216,1
3.5,15,16,216,1
3.5,15,8,243,1
3.5,15,17,217,1
3.5,16,11,220,1
3.5,16,9,216,1
3.5,16,15,222,1
3.5,16,25,243,1
3.5,16,21,161,1
3.5,16,8,243,1
3.5,17,28,234,1
3.5,17,7,208,1
3.5,17,9,216,1
3.5,17,15,222,1
3.5,17,10,238,1
3.5,17,14,201,1
3.5,18,28,234,1
3.5,18,29,218,1
3.5,18,0,219,1
3.5,18,10,238,1
3.5,18,14,201,1
3.5,19,30,224,1
3.5,19,13,184,1
3.5,19,24,208,1
3.5,20,4,143,1
3.5,20,27,224,1
3.5,21,11,220,1
3.5,21,25,243,1
3.5,21,16,216,1
3.5,21,8,243,1
3.5,24,30,224,1
3.5,24,13,184,1
3.5,24,19,208,1
3.5,24,12,184,1
3.5,25,11,220,1
3.5,25,16,216,1
3.5,25,21,161,1
3.5,25,8,243,1
3.5,25,12,184,1
3.5,26,5,222,1
3.5,27,30,224,1
3.5,27,4,143,1
3.5,27,3,222,1
3.5,27,20,149,1
3.5,28,7,208,1
3.5,28,9,216,1
3.5,28,15,222,1
3.5,28,29,218,1
3.5,28,10,238,1
3.5,28,14,201,1
3.5,28,17,217,1
3.5,28,18,238,1
3.5,29,28,234,1
3.5,29,7,208,1
3.5,29,10,238,1
3.5,29,14,201,1
3.5,29,6,164,1
3.5,29,18,238,1
3.5,30,13,184,1
3.5,30,19,208,1
3.5,30,27,224,1
3.5,30,24,208,1
4,0,3,222,1
4,0,18,238,1
4,1,2,50,1
4,1,5,222,1
4,2,5,222,1
4,2,1,222,1
4,3,27,224,1
4,3,0,219,1
4,4,27,224,1
4,4,20,149,1
4,5,2,50,1
4,5,1,222,1
4,5,26,198,1
4,6,7,208,1
4,6,29,218,1
4,6,10,238,1
4,6,14,201,1
4,7,28,234,1
4,7,9,216,1
4,7,17,217,1
4,7,15,222,1
4,7,29,218,1
4,7,10,238,1
4,7,14,201,1
4,7,6,164,1
4,8,11,220,1
4,8,9,216,1
4,8,15,222,1
4,8,25,243,1
4,8,16,216,1
4,8,21,161,1
4,9,28,234,1
4,9,7,208,1
4,9,15,222,1
4,9,16,216,1
4,9,8,243,1
4,9,17,217,1
4,10,28,234,1
4,10,7,208,1
4,10,29,218,1
4,10,14,201,1
4,10,6,164,1
4,10,17,217,1
4,10,18,238,1
4,11,25,243,1
4,11,16,216,1
4,11,21,161,1
4,11,8,243,1
4,12,25,243,1
4,12,24,208,1
4,13,30,224,1
4,13,19,208,1
4,13,24,208,1
4,14,28,234,1
4,14,7,208,1
4,14,29,218,1
4,14,10,238,1
4,14,6,164,1
4,14,17,217,1
4,14,18,238,1
4,15,28,234,1
4,15,7,208,1
4,15,9,216,1
4,15,16,216,1
4,15,8,243,1
4,15,17,217,1
4,16,11,220,1
4,16,9,216,1
4,16,15,222,1
4,16,25,243,1
4,16,21,161,1
4,16,8,243,1
4,17,28,234,1
4,17,7,208,1
4,17,9,216,1
4,17,15,222,1
4,17,10,238,1
4,17,14,201,1
4,18,28,234,1
4,18,29,218,1
4,18,0,219,1
4,18,10,238,1
4,18,14,201,1
4,19,30,224,1
4,19,13,42,1
4,19,24,208,1
4,20,4,143,1
4,20,27,224,1
4,21,11,220,1
4,21,25,243,1
4,21,16,216,1
4,21,8,243,1
4,24,30,224,1
4,24,13,42,1
4,24,19,208,1
4,24,12,184,1
4,25,11,220,1
4,25,16,216,1
4,25,21,161,1
4,25,8,243,1
4,25,12,184,1
4,26,5,222,1
4,27,30,224,1
4,27,4,143,1
4,27,3,222,1
4,27,20,149,1
4,28,7,208,1
4,28,9,216,1
4,28,15,222,1
4,28,29,218,1
4,28,10,238,1
4,28,14,201,1
4,28,17,217,1
4,28,18,238,1
4,29,28,234,1
4,29,7,208,1
4,29,10,238,1
4,29,14,201,1
4,29,6,164,1
4,29,18,238,1
4,30,13,42,1
4,30,19,208,1
4,30,27,224,1
4,30,24,208,1
4.5,0,3,156,1
4.5,0,18,238,1
4.5,1,2,206,1
4.5,1,5,222,1
4.5,2,5,222,1
4.5,2,1,222,1
4.5,3,27,224,1
4.5,3,0,219,1
4.5,4,27,224,1
4.5,4,20,149,1
4.5,5,2,206,1
4.5,5,1,222,1
4.5,5,26,198,1
4.5,6,7,208,1
4.5,6,29,218,1
4.5,6,10,238,1
4.5,6,14,201,1
4.5,7,28,234,1
4.5,7,9,216,1
4.5,7,17,217,1
4.5,7,15,222,1
4.5,7,29,218,1
4.5,7,10,238,1
4.5,7,14,201,1
4.5,7,6,164,1
4.5,8,11,220,1
4.5,8,9,216,1
4.5,8,15,222,1
4.5,8,25,243,1
4.5,8,16,216,1
4.5,8,21,161,1
4.5,9,28,234,1
4.5,9,7,208,1
4.5,9,15,222,1
4.5,9,16,216,1
4.5,9,8,243,1
4.5,9,17,217,1
4.5,10,28,234,1
4.5,10,7,208,1
4.5,10,29,218,1
4.5,10,14,201,1
4.5,10,6,164,1
4.5,10,17,217,1
4.5,10,18,238,1
4.5,11,25,243,1
4.5,11,16,216,1
4.5,11,21,161,1
4.5,11,8,243,1
4.5,12,25,243,1
4.5,12,24,208,1
4.5,13,30,224,1
4.5,13,19,42,1
4.5,13,24,208,1
4.5,14,28,234,1
4.5,14,7,208,1
4.5,14,29,218,1
4.5,14,10,238,1
4.5,14,6,164,1
4.5,14,17,217,1
4.5,14,18,238,1
4.5,15,28,234,1
4.5,15,7,208,1
4.5,15,9,216,1
4.5,15,16,216,1
4.5,15,8,243,1
4.5,15,17,217,1
4.5,16,11,220,1
4.5,16,9,216,1
4.5,16,15,222,1
4.5,16,25,243,1
4.5,16,21,161,1
4.5,16,8,243,1
4.5,17,28,234,1
4.5,17,7,208,1
4.5,17,9,216,1
4.5,17,15,222,1
4.5,17,10,238,1
4.5,17,14,201,1
4.5,18,28,234,1
4.5,18,29,218,1
4.5,18,0,219,1
4.5,18,10,238,1
4.5,18,14,201,1
4.5,19,30,224,1
4.5,19,13,184,1
4.5,19,24,208,1
4.5,20,4,143,1
4.5,20,27,224,1
4.5,21,11,220,1
4.5,21,25,243,1
4.5,21,16,216,1
4.5,21,8,243,1
4.5,24,30,224,1
4.5,24,13,184,1
4.5,24,19,42,1
4.5,24,12,184,1
4.5,25,11,220,1
4.5,25,16,216,1
4.5,25,21,161,1
4.5,25,8,243,1
4.5,25,12,184,1
4.5,26,5,222,1
4.5,27,30,224,1
4.5,27,4,143,1
4.5,27,3,156,1
4.5,27,20,149,1
4.5,28,7,208,1
4.5,28,9,216,1
4.5,28,15,222,1
4.5,28,29,218,1
4.5,28,10,238,1
4.5,28,14,201,1
4.5,28,17,217,1
4.5,28,18,238,1
4.5,29,28,234,1
4.5,29,7,208,1
4.5,29,10,238,1
4.5,29,14,201,1
4.5,29,6,164,1
4.5,29,18,238,1
4.5,30,13,184,1
4.5,30,19,42,1
4.5,30,27,224,1
4.5,30,24,208,1
5,0,3,222,1
5,0,18,238,1
5,1,2,206,1
5,1,5,222,1
5,2,5,222,1
5,2,1,222,1
5,3,27,224,1
5,3,0,219,1
5,4,27,224,1
5,4,20,149,1
5,5,2,206,1
5,5,1,222,1
5,5,26,198,1
5,6,7,208,1
5,6,29,218,1
5,6,10,238,1
5,6,14,201,1
5,7,28,234,1
5,7,9,216,1
5,7,17,217,1
5,7,15,222,1
5,7,29,218,1
5,7,10,238,1
5,7,14,201,1
5,7,6,164,1
5,8,11,220,1
5,8,9,216,1
5,8,15,222,1
5,8,25,243,1
5,8,16,216,1
5,8,21,161,1
5,9,28,234,1
5,9,7,208,1
5,9,15,222,1
5,9,16,216,1
5,9,8,243,1
5,9,17,217,1
5,10,28,234,1
5,10,7,208,1
5,10,29,218,1
5,10,14,201,1
5,10,6,164,1
5,10,17,217,1
5,10,18,238,1
5,11,25,243,1
5,11,16,216,1
5,11,21,161,1
5,11,8,243,1
5,12,25,243,1
5,12,24,208,1
5,13,30,224,1
5,13,19,208,1
5,13,24,208,1
5,14,28,234,1
5,14,7,208,1
5,14,29,218,1
5,14,10,238,1
5,14,6,164,1
5,14,17,217,1
5,14,18,238,1
5,15,28,234,1
5,15,7,208,1
5,15,9,216,1
5,15,16,216,1
