window_start,window_end,sent_pkts,sent_bytes,recv_pkts,recv_bytes,avg_delay_ms,jitter_ms,DestinationRecvDataPkts,DestinationRecvDataBytes,throughput_bps,goodput_bps,ETX,PDR,LossRate
50.0,50.5,877,226166,592,226166,0.489,0.273,152.0,87552.0,3618656,1400832,5.77,0.173,0.827
50.5,51.0,1036,334980,494,334980,0.797,0.611,225.0,129600.0,5359680,2073600,4.604,0.217,0.783
51.0,51.5,1058,349916,464,349916,1.381,1.112,214.0,123264.0,5598656,1972224,4.944,0.202,0.798
51.5,52.0,1071,345710,498,345710,1.13,1.131,116.0,66816.0,5531360,1069056,9.233,0.108,0.892
52.0,52.5,994,299898,495,299898,1.005,0.999,51.0,29376.0,4798368,470016,19.49,0.051,0.949
52.5,53.0,1557,491612,727,491612,0.904,0.699,57.0,32832.0,7865792,525312,27.316,0.037,0.963
53.0,53.5,1525,436716,792,436716,0.79,0.337,340.0,195840.0,6987456,3133440,4.485,0.223,0.777
53.5,54.0,1436,417460,742,417460,0.826,0.3,412.0,237312.0,6679360,3796992,3.485,0.287,0.713
54.0,54.5,1463,407456,796,407456,0.793,0.407,391.0,225216.0,6519296,3603456,3.742,0.267,0.733
54.5,55.0,1424,402730,765,402730,0.797,0.33,358.0,206208.0,6443680,3299328,3.978,0.251,0.749
55.0,55.5,1103,341248,539,341248,0.795,0.314,315.0,181440.0,5459968,2903040,3.502,0.286,0.714
55.5,56.0,1333,375936,734,375936,0.854,0.371,395.0,227520.0,6014976,3640320,3.375,0.296,0.704
56.0,56.5,1285,379154,656,379154,0.934,0.25,405.0,233280.0,6066464,3732480,3.173,0.315,0.685
56.5,57.0,1322,392772,678,392772,0.897,0.288,405.0,233280.0,6284352,3732480,3.264,0.306,0.694
57.0,57.5,1079,280758,630,280758,0.924,0.733,259.0,149184.0,4492128,2386944,4.166,0.24,0.76
57.5,58.0,1126,312386,619,312386,1.019,0.641,307.0,176832.0,4998176,2829312,3.668,0.273,0.727
58.0,58.5,1272,362974,683,362974,0.941,0.565,315.0,181440.0,5807584,2903040,4.038,0.248,0.752
58.5,59.0,1167,332814,649,332814,1.023,0.67,314.0,180864.0,5325024,2893824,3.717,0.269,0.731
59.0,59.5,1070,296872,596,296872,1.1,0.921,294.0,169344.0,4749952,2709504,3.639,0.275,0.725
59.5,60.0,960,273416,514,273416,1.181,1.086,279.0,160704.0,4374656,2571264,3.441,0.291,0.709
60.0,60.5,847,240530,460,240530,1.45,1.38,292.0,168192.0,3848480,2691072,2.901,0.345,0.655
60.5,61.0,818,228082,450,228082,1.566,1.421,288.0,165888.0,3649312,2654208,2.84,0.352,0.648
61.0,61.5,965,281088,497,281088,1.309,1.251,283.0,163008.0,4497408,2608128,3.41,0.293,0.707
61.5,62.0,1174,331272,650,331272,0.995,0.989,260.0,149760.0,5300352,2396160,4.515,0.221,0.779
62.0,62.5,910,255992,507,255992,0.964,0.901,273.0,157248.0,4095872,2515968,3.333,0.3,0.7
62.5,63.0,1132,323572,617,323572,0.998,0.638,352.0,202752.0,5177152,3244032,3.216,0.311,0.689
63.0,63.5,1053,276954,634,276954,1.104,1.083,315.0,181440.0,4431264,2903040,3.343,0.299,0.701
63.5,64.0,858,239712,472,239712,1.472,1.349,301.0,173376.0,3835392,2774016,2.85,0.351,0.649
64.0,64.5,835,234754,461,234754,1.477,1.365,301.0,173376.0,3756064,2774016,2.774,0.36,0.64
64.5,65.0,1000,259712,625,259712,1.191,1.305,258.0,148608.0,4155392,2377728,3.876,0.258,0.742
65.0,65.5,859,245794,464,245794,1.411,1.379,250.0,144000.0,3932704,2304000,3.436,0.291,0.709
65.5,66.0,1047,320842,530,320842,0.842,0.571,305.0,175680.0,5133472,2810880,3.433,0.291,0.709
66.0,66.5,981,280922,526,280922,1.317,1.214,249.0,143424.0,4494752,2294784,3.94,0.254,0.746
66.5,67.0,981,264016,557,264016,1.225,1.213,273.0,157248.0,4224256,2515968,3.593,0.278,0.722
67.0,67.5,1015,284816,548,284816,1.207,1.128,244.0,140544.0,4557056,2248704,4.16,0.24,0.76
67.5,68.0,1141,307830,641,307830,1.046,0.797,247.0,142272.0,4925280,2276352,4.619,0.216,0.784
68.0,68.5,770,202744,436,202744,0.953,0.63,244.0,140544.0,3243904,2248704,3.156,0.317,0.683
68.5,69.0,1144,319670,632,319670,1.061,0.786,196.0,112896.0,5114720,1806336,5.837,0.171,0.829
69.0,69.5,1284,364378,692,364378,1.042,1.0,206.0,118656.0,5830048,1898496,6.233,0.16,0.84
69.5,70.0,1163,335486,607,335486,1.209,1.228,231.0,133056.0,5367776,2128896,5.035,0.199,0.801
70.0,70.5,1109,325428,572,325428,1.298,1.266,236.0,135936.0,5206848,2174976,4.699,0.213,0.787
70.5,71.0,1335,392864,692,392864,0.901,0.73,206.0,118656.0,6285824,1898496,6.481,0.154,0.846
71.0,71.5,1186,346632,614,346632,1.097,0.782,195.0,112320.0,5546112,1797120,6.082,0.164,0.836
71.5,72.0,1293,372984,680,372984,1.034,0.7,190.0,109440.0,5967744,1751040,6.805,0.147,0.853
72.0,72.5,1115,322118,592,322118,1.274,0.886,95.0,54720.0,5153888,875520,11.737,0.085,0.915
72.5,73.0,904,258764,482,258764,1.675,1.433,147.0,84672.0,4140224,1354752,6.15,0.163,0.837
73.0,73.5,1108,322986,572,322986,1.249,1.132,199.0,114624.0,5167776,1833984,5.568,0.18,0.82
73.5,74.0,674,177146,410,177146,1.214,1.529,72.0,41472.0,2834336,663552,9.361,0.107,0.893
74.0,74.5,430,104852,282,104852,1.676,1.864,34.0,19584.0,1677632,313344,12.647,0.079,0.921
74.5,75.0,967,283684,511,283684,1.327,1.523,204.0,117504.0,4538944,1880064,4.74,0.211,0.789
75.0,75.5,1195,338772,661,338772,1.053,1.295,177.0,101952.0,5420352,1631232,6.751,0.148,0.852
75.5,76.0,965,298518,472,298518,1.411,1.513,89.0,51264.0,4776288,820224,10.843,0.092,0.908
76.0,76.5,1067,332236,505,332236,1.254,1.21,69.0,39744.0,5315776,635904,15.464,0.065,0.935
76.5,77.0,855,253236,433,253236,1.802,1.383,14.0,8064.0,4051776,129024,61.071,0.016,0.984
77.0,77.5,522,138744,298,138744,1.782,1.766,40.0,23040.0,2219904,368640,13.05,0.077,0.923
77.5,78.0,412,87948,278,87948,1.678,1.931,35.0,20160.0,1407168,322560,11.771,0.085,0.915
