time,node_id,initial_energy,remaining_energy,data_mode,data_rate_mbps,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed_m_s,yaw_deg,pitch_deg
5,0,1e+06,999996,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
5,1,132.764,128.672,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
5,2,101.688,97.5976,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
5,3,114.45,110.361,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
5,4,103.067,98.9746,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
5,5,112.874,108.784,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
5,6,122.206,118.116,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
5,7,145.576,141.487,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
5,8,139.507,135.415,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
5,9,112.902,108.812,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
5,10,130.095,126.005,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
5.5,0,1e+06,999996,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
5.5,1,132.764,128.263,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
5.5,2,101.688,97.1884,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
5.5,3,114.45,109.952,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
5.5,4,103.067,98.5654,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
5.5,5,112.874,108.375,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
5.5,6,122.206,117.707,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
5.5,7,145.576,141.078,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
5.5,8,139.507,135.006,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
5.5,9,112.902,108.403,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
5.5,10,130.095,125.595,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
6,0,1e+06,999995,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
6,1,132.764,127.854,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
6,2,101.688,96.7793,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
6,3,114.45,109.543,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
6,4,103.067,98.1561,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
6,5,112.874,107.966,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
6,6,122.206,117.298,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
6,7,145.576,140.669,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
6,8,139.507,134.597,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
6,9,112.902,107.994,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
6,10,130.095,125.186,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
6.5,0,1e+06,999995,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
6.5,1,132.764,127.445,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
6.5,2,101.688,96.3705,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
6.5,3,114.45,109.134,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
6.5,4,103.067,97.747,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
6.5,5,112.874,107.558,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
6.5,6,122.206,116.889,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
6.5,7,145.576,140.261,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
6.5,8,139.507,134.188,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
6.5,9,112.902,107.585,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
6.5,10,130.095,124.777,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
7,0,1e+06,999994,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
7,1,132.764,127.036,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
7,2,101.688,95.9614,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
7,3,114.45,108.725,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
7,4,103.067,97.3378,DsssRate2Mbps,2,548.058,895.889,57.7833,0,0,0,0,0,0
7,5,112.874,107.149,DsssRate11Mbps,11,853.902,510.163,93.1342,0,0,0,0,0,0
7,6,122.206,116.48,DsssRate5_5Mbps,5.5,614.422,152.72,32.0322,0,0,0,0,0,0
7,7,145.576,139.852,DsssRate1Mbps,1,460.268,135.665,86.4674,0,0,0,0,0,0
7,8,139.507,133.779,DsssRate2Mbps,2,118.554,207.518,43.3421,0,0,0,0,0,0
7,9,112.902,107.176,DsssRate2Mbps,2,266.532,145.315,163.508,0,0,0,0,0,0
7,10,130.095,124.368,DsssRate5_5Mbps,5.5,600.709,130.913,140.525,0,0,0,0,0,0
7.5,0,1e+06,999994,DsssRate11Mbps,11,500,500,0,0,0,0,0,0,0
7.5,1,132.764,126.627,DsssRate5_5Mbps,5.5,956.444,702.607,138.484,0,0,0,0,0,0
7.5,2,101.688,95.5523,DsssRate2Mbps,2,909.417,698.084,156.777,0,0,0,0,0,0
7.5,3,114.45,108.316,DsssRate11Mbps,11,548.935,621.091,86.9131,0,0,0,0,0,0
